"Processed Date","Type","Code","Reference","Amount","Details","Particulars","Expense.Category"
NA,"Visa Hold","Mcdonalds Ba",NA,-6.5,"4835-****-****-2622   F",NA,"Eat_out"
NA,"Visa Hold","Wellington H",NA,-48.02,"4835-****-****-2622   F",NA,"Groceries"
NA,"Visa Hold","Mitre 10 Cro",NA,-19.59,"4835-****-****-2622   F",NA,"General_shoppings"
NA,"Visa Hold","Cafe Du Parc",NA,-5.48,"4835-****-****-2622   F",NA,"Eat_out"
2023-11-21,"Visa Purchase","New World Ka",NA,-55.62,"4835-****-****-1137  Df",NA,"Groceries"
2023-11-21,"Visa Purchase","New World Ka",NA,-20.71,"4835-****-****-2622  Df",NA,"Groceries"
2023-11-21,"Visa Purchase","Karori Park",NA,-12.29,"4835-****-****-2622  Df",NA,"Eat_out"
2023-11-21,"Eft-Pos","2622   C","231121100606",-6,"Opportunity For Anim","4835********","Unidentified"
2023-11-21,"Visa Purchase","Wcc Parking",NA,-2,"4835-****-****-2622  Df",NA,"Travel"
2023-11-21,"Payment",NA,"Doogh",-8.5,"Hanna","Shopping","Groceries"
2023-11-21,"Salary",NA,"Mpi Salary",2921.7,"Ministry For Primary",NA,"Income"
2023-11-20,"Direct Debit","00019824115","120190290",-255.13,"Mercury Nz Ltd","Trustpower L","Internet_Power"
2023-11-20,"Visa Purchase","Hell Pizza N",NA,-25,"4835-****-****-2622  Df",NA,"Eat_out"
2023-11-20,"Visa Purchase","Pizza Hut Ka",NA,-17.68,"4835-****-****-2622  Df",NA,"Eat_out"
2023-11-20,"Visa Purchase","Paperplus Se",NA,-15.99,"4835-****-****-2622  Df",NA,"General_shoppings"
2023-11-20,"Visa Purchase","New World Th",NA,-8.98,"4835-****-****-1137  Df",NA,"Groceries"
2023-11-20,"Visa Purchase","New World Th",NA,-5.11,"4835-****-****-1137  Df",NA,"Groceries"
2023-11-20,"Visa Purchase","Apple.Com/Bi",NA,-0.69,"4835-****-****-2622  If",NA,"Entertainment"
